11 ,22718 ,1
17 ,31313 ,1
43 ,48875 ,1
24 ,33718 ,2
14 ,19078 ,1
6 ,18531 ,2
23 ,29704 ,0
41 ,77712, 1
38 ,59230 ,1
31 ,53309 ,1
53 ,82967 ,1
23 ,36250 ,0
24 ,37109 ,1
23 ,33891 ,0
24 ,40112 ,1
33 ,51088 ,0
30 ,36280 ,2
13 ,13095 ,2
14 ,14687 ,2
15 ,47140 ,2
10 ,28781 ,0
24 ,60594 ,0
23 ,25265 ,0
18 ,32703 ,2
26 ,41249 ,0
20 ,33219 ,1
28 ,40953 ,0
4 ,16594 ,2
25 ,46172 ,1
12 ,28797 ,1
24 ,54062 ,1
41 ,80547 ,1
18 ,64906 ,0
21 ,71062 ,0
20 ,73984 ,0
34 ,89453 ,1
14 ,20450 ,1
13 ,23016 ,0
19 ,33761 ,0
5 ,15635 ,1